year,country_code,pop_ages,gender,number
1960,PST,15-64,female,246757989.0
1960,PST,15-64,male,229942197.0
1960,PST,65+,female,38621978.0
1960,PST,65+,male,27408002.0
1960,PRE,0-14,female,40250610.0
1960,PRE,0-14,male,40294167.0
1960,PRE,15-64,female,51863533.0
1960,PRE,15-64,male,50640159.0
1960,PRE,65+,female,3196217.0
1960,PRE,65+,male,2675571.0
1960,SST,0-14,female,1568424.0
1960,SST,0-14,male,1610421.0
1960,SST,15-64,female,2308533.0
1960,SST,15-64,male,2180574.0
1960,SST,65+,female,251825.0
1960,SST,65+,male,164611.0
1960,SAS,0-14,female,111551089.0
1960,SAS,0-14,male,118083910.0
1960,SAS,15-64,female,150759142.0
1960,SAS,15-64,male,164298664.0
1960,SAS,65+,female,8836807.0
1960,SAS,65+,male,9134063.0
1960,TSA,0-14,female,111551089.0
1960,TSA,0-14,male,118083910.0
1960,TSA,15-64,female,150759142.0
1960,TSA,15-64,male,164298664.0
1960,TSA,65+,female,8836807.0
1960,TSA,65+,male,9134063.0
1960,SSF,0-14,female,48817264.0
1960,SSF,0-14,male,48927893.0
1960,SSF,15-64,female,62089683.0
1960,SSF,15-64,male,60746872.0
1960,SSF,65+,female,3931026.0
1960,SSF,65+,male,3190273.0
1960,SSA,0-14,female,48809643.0
1960,SSA,0-14,male,48919429.0
1960,SSA,15-64,female,62078075.0
1960,SSA,15-64,male,60735388.0
1960,SSA,65+,female,3929555.0
1960,SSA,65+,male,3189220.0
1960,TSS,0-14,female,48817264.0
1960,TSS,0-14,male,48927893.0
1960,TSS,15-64,female,62089683.0
1960,TSS,15-64,male,60746872.0
1960,TSS,65+,female,3931026.0
1960,TSS,65+,male,3190273.0
1960,UMC,0-14,female,227123069.0
1960,UMC,0-14,male,237190897.0
1960,UMC,15-64,female,318108300.0
1960,UMC,15-64,male,324262320.0
1960,UMC,65+,female,25575581.0
1960,UMC,65+,male,18986003.0
1960,WLD,0-14,female,553661205.0
1960,WLD,0-14,male,576359231.0
1960,WLD,15-64,female,874298330.0
1960,WLD,15-64,male,867041485.0
1960,WLD,65+,female,85869620.0
1960,WLD,65+,male,64299373.0
1960,AFG,0-14,female,1884411.0
1960,AFG,0-14,male,1905497.0
1960,AFG,15-64,female,2343123.0
1960,AFG,15-64,male,2646921.0
1960,AFG,65+,female,117264.0
