year,country_code,gender,value
1961,GRD,female,65.081
1961,GRD,male,61.636
1961,GTM,female,46.305
1961,GTM,male,45.908
1961,GIN,female,38.119
1961,GIN,male,35.569
1961,GNB,female,39.505
1961,GNB,male,36.193
1961,GUY,female,60.541
1961,GUY,male,55.527
1961,HTI,female,45.972
1961,HTI,male,41.672
1961,HND,female,49.23
1961,HND,male,46.252
1961,HUN,female,71.2
1961,HUN,male,66.78
1961,ISL,female,76.3
1961,ISL,male,70.84
1961,IND,female,45.114
1961,IND,male,46.492
1961,IDN,female,49.16
1961,IDN,male,45.688
1961,IRN,female,43.247
1961,IRN,male,44.512
1961,IRQ,female,55.896
1961,IRQ,male,48.983
1961,IRL,female,71.598
1961,IRL,male,67.85
1961,ISR,female,73.62
1961,ISR,male,70.47
1961,ITA,female,72.48
1961,ITA,male,67.17
1961,JAM,female,65.935
1961,JAM,male,62.415
1961,JPN,female,70.79
1961,JPN,male,66.03
1961,JOR,female,54.143
1961,JOR,male,53.306
1961,KAZ,female,63.179
1961,KAZ,male,53.388
1961,KEN,female,50.781
1961,KEN,male,48.071
1961,KIR,female,49.824
1961,KIR,male,47.109
1961,KOR,female,57.045
1961,KOR,male,52.031
1961,XKX,female,50.806
1961,XKX,male,48.952
1961,KGZ,female,59.508
1961,KGZ,male,51.359
1961,LAO,female,42.804
1961,LAO,male,39.929
1961,LVA,female,73.92
1961,LVA,male,66.33
1961,LBN,female,66.224
1961,LBN,male,62.426
1961,LSO,female,53.057
1961,LSO,male,46.632
1961,LBR,female,39.181
1961,LBR,male,37.066
1961,LTU,female,73.56
1961,LTU,male,66.81
1961,LUX,female,71.655
1961,LUX,male,66.77
1961,MDG,female,45.084
1961,MDG,male,42.594
1961,MWI,female,36.782
1961,MWI,male,33.665
1961,MYS,female,59.057
1961,MYS,male,57.128
1961,MDV,female,39.367
1961,MDV,male,37.961
1961,MLI,female,31.758
1961,MLI,male,29.584
1961,MLT,female,70.311
1961,MLT,male,66.427
1961,MHL,female,58.724
1961,MHL,male,51.492
1961,MRT,female,45.281
1961,MRT,male,43.356
1961,MUS,female,61.365
1961,MUS,male,57.854
1961,MEX,female,55.894
1961,MEX,male,53.003
1961,FSM,female,58.282
1961,FSM,male,51.663
1961,MDA,female,62.934
1961,MDA,male,56.343
1961,MNG,female,47.632
1961,MNG,male,43.26
1961,MNE,female,67.453
1961,MNE,male,64.476
1961,MAR,female,44.667
1961,MAR,male,42.721
1961,MOZ,female,42.803
1961,MOZ,male,40.135
1961,MMR,female,46.346
1961,MMR,male,42.939
1961,NAM,female,51.243
1961,NAM,male,47.19
1961,NRU,female,60.813
1961,NRU,male,56.426
1961,NPL,female,39.082
1961,NPL,male,38.773
1961,NLD,female,75.85
1961,NLD,male,71.56
1961,NIC,female,48.703
1961,NIC,male,45.88
1961,NER,female,36.725
1961,NER,male,35.757
1961,NGA,female,39.597
1961,NGA,male,35.358
1961,MKD,female,62.131
1961,MKD,male,61.442
1961,NOR,female,76.05
1961,NOR,male,71.17
1961,PAK,female,42.817
1961,PAK,male,46.845
1961,PAN,female,62.076
1961,PAN,male,59.835
1961,PNG,female,48.733
1961,PNG,male,44.683
1961,PRY,female,62.935
1961,PRY,male,58.135
1961,PER,female,52.68
1961,PER,male,49.753
1961,PHL,female,61.497
1961,PHL,male,57.643
1961,POL,female,70.8
1961,POL,male,64.9
1961,PRT,female,65.501
1961,PRT,male,59.967
1961,QAT,female,60.643
1961,QAT,male,56.557
1961,ROU,female,67.53
1961,ROU,male,64.303
1961,RUS,female,72.099
1961,RUS,male,63.672
1961,RWA,female,47.979
1961,RWA,male,46.909
1961,WSM,female,58.181
1961,WSM,male,53.624
1961,STP,female,46.701
1961,STP,male,43.851
1961,SEN,female,40.223
1961,SEN,male,39.189
1961,SRB,female,67.961
1961,SRB,male,64.492
1961,SYC,female,63.247
1961,SYC,male,58.091
1961,SLE,female,35.178
1961,SLE,male,32.119
1961,SVK,female,73.017
1961,SVK,male,68.54
1961,SVN,female,72.0
1961,SVN,male,66.1
1961,SLB,female,50.414
1961,SLB,male,46.811
1961,ZAF,female,55.218
1961,ZAF,male,51.188
1961,SSD,female,30.579
1961,SSD,male,26.239
1961,ESP,female,71.98
1961,ESP,male,67.1
1961,LKA,female,63.15
1961,LKA,male,59.611
1961,LCA,female,61.036
1961,LCA,male,56.896
1961,SDN,female,50.855
1961,SDN,male,49.088
1961,SUR,female,59.422
1961,SUR,male,55.469
1961,SWE,female,75.39
1961,SWE,male,71.65
1961,CHE,female,74.59
1961,CHE,male,68.84
1961,SYR,female,54.394
1961,SYR,male,52.982
1961,TJK,female,55.039
1961,TJK,male,50.864
1961,TZA,female,44.191
1961,TZA,male,41.488
1961,THA,female,52.983
1961,THA,male,49.288
1961,TLS,female,34.278
1961,TLS,male,31.424
1961,TGO,female,45.301
1961,TGO,male,42.207
1961,TON,female,61.483
1961,TON,male,56.364
1961,TTO,female,64.681
1961,TTO,male,61.378
1961,TUN,female,45.769
1961,TUN,male,42.813
1961,TUR,female,54.605
1961,TUR,male,48.796
1961,TKM,female,56.913
1961,TKM,male,48.355
1961,TUV,female,51.66
1961,TUV,male,46.52
1961,UGA,female,48.28
1961,UGA,male,44.503
1961,UKR,female,72.695
1961,UKR,male,66.497
1961,ARE,female,55.611
1961,ARE,male,48.999
1961,GBR,female,73.9
1961,GBR,male,68.0
1961,USA,female,73.6
1961,USA,male,67.1
1961,URY,female,71.128
1961,URY,male,64.877
1961,UZB,female,59.129
1961,UZB,male,54.565
1961,VUT,female,51.501
1961,VUT,male,49.728
1961,VEN,female,61.08
1961,VEN,male,57.306
1961,VNM,female,61.718
1961,VNM,male,55.369
1961,PSE,female,
1961,PSE,male,
1961,YEM,female,36.592
1961,YEM,male,31.72
1961,ZMB,female,52.075
1961,ZMB,male,49.998
1961,ZWE,female,56.47
1961,ZWE,male,51.516
1962,ALB,female,61.047
1962,ALB,male,56.0
1962,DZA,female,42.706
1962,DZA,male,36.813
1962,AGO,female,40.218
1962,AGO,male,34.489
1962,ARG,female,68.282
1962,ARG,male,61.474
1962,ARM,female,63.038
1962,ARM,male,56.944
1962,AUS,female,74.2
1962,AUS,male,67.84
1962,AUT,female,72.48
1962,AUT,male,66.29
1962,AZE,female,56.163
1962,AZE,male,47.73
1962,BGD,female,44.926
1962,BGD,male,46.539
1962,BLR,female,73.04
1962,BLR,male,66.055
1962,BEL,female,73.18
1962,BEL,male,67.4
1962,BLZ,female,60.722
1962,BLZ,male,56.863
1962,BEN,female,41.637
1962,BEN,male,37.614
1962,BTN,female,37.967
1962,BTN,male,36.096
1962,BOL,female,46.162
1962,BOL,male,41.888
1962,BIH,female,62.125
1962,BIH,male,58.025
1962,BWA,female,54.23
1962,BWA,male,50.243
1962,BRA,female,56.397
1962,BRA,male,51.821
1962,BGR,female,71.3
1962,BGR,male,67.77
1962,BFA,female,37.954
1962,BFA,male,35.647
1962,BDI,female,44.766
1962,BDI,male,42.147
1962,CPV,female,51.337
1962,CPV,male,48.932
1962,CMR,female,43.663
1962,CMR,male,41.51
1962,CAN,female,74.43
1962,CAN,male,68.45
1962,CAF,female,41.611
1962,CAF,male,39.52
1962,TCD,female,41.081
1962,TCD,male,38.155
1962,CHL,female,60.502
1962,CHL,male,55.309
1962,CHN,female,53.189
1962,CHN,male,48.945
1962,COL,female,59.518
1962,COL,male,55.964
1962,COM,female,43.376
1962,COM,male,39.773
1962,COD,female,41.826
1962,COD,male,38.843
1962,COG,female,50.526
1962,COG,male,47.581
1962,CRI,female,65.579
1962,CRI,male,62.901
1962,CIV,female,40.81
1962,CIV,male,36.602
1962,HRV,female,69.574
1962,HRV,male,64.676
1962,CYP,female,68.45
1962,CYP,male,61.334
1962,CZE,female,72.86
1962,CZE,male,66.86
1962,DNK,female,74.43
1962,DNK,male,70.31
1962,DJI,female,46.062
1962,DJI,male,42.181
1962,DOM,female,54.842
1962,DOM,male,51.709
1962,ECU,female,56.782
1962,ECU,male,52.649
1962,EGY,female,48.76
1962,EGY,male,43.168
1962,SLV,female,51.131
1962,SLV,male,46.944
1962,EST,female,73.176
1962,EST,male,65.593
1962,SWZ,female,48.629
1962,SWZ,male,45.598
1962,ETH,female,43.991
1962,ETH,male,37.315
1962,FJI,female,62.142
1962,FJI,male,57.916
1962,FIN,female,72.24
1962,FIN,male,65.09
1962,FRA,female,73.9
1962,FRA,male,66.9
1962,GAB,female,50.437
1962,GAB,male,45.202
1962,GMB,female,36.38
1962,GMB,male,34.816
1962,GEO,female,66.561
1962,GEO,male,57.507
1962,DEU,female,72.583
1962,DEU,male,67.148
1962,GHA,female,49.535
1962,GHA,male,45.421
1962,GRC,female,72.404
1962,GRC,male,68.149
1962,GRD,female,65.353
1962,GRD,male,61.767
1962,GTM,female,46.76
1962,GTM,male,46.204
1962,GIN,female,38.316
1962,GIN,male,35.734
1962,GNB,female,39.756
1962,GNB,male,36.43
1962,GUY,female,60.908
1962,GUY,male,55.94
1962,HTI,female,46.312
1962,HTI,male,42.069
1962,HND,female,50.181
1962,HND,male,47.173
1962,HUN,female,70.14
1962,HUN,male,65.7
1962,ISL,female,76.16
1962,ISL,male,71.4
1962,IND,female,45.442
1962,IND,male,46.782
1962,IDN,female,49.826
1962,IDN,male,46.525
1962,IRN,female,43.084
1962,IRN,male,44.411
1962,IRQ,female,57.047
1962,IRQ,male,50.105
1962,IRL,female,72.11
1962,IRL,male,67.973
1962,ISR,female,73.7
1962,ISR,male,70.6
1962,ITA,female,71.89
1962,ITA,male,66.54
1962,JAM,female,66.278
1962,JAM,male,62.806
1962,JPN,female,71.16
1962,JPN,male,66.23
1962,JOR,female,55.168
1962,JOR,male,54.188
1962,KAZ,female,63.432
1962,KAZ,male,53.569
1962,KEN,female,51.569
1962,KEN,male,48.83
1962,KIR,female,50.423
1962,KIR,male,47.657
1962,KOR,female,57.577
1962,KOR,male,52.653
1962,XKX,female,49.178
1962,XKX,male,47.534
1962,KGZ,female,59.81
1962,KGZ,male,51.672
1962,LAO,female,43.211
1962,LAO,male,41.34
1962,LVA,female,73.19
1962,LVA,male,65.85
1962,LBN,female,66.556
1962,LBN,male,62.748
