year,country_code,pop_density,net_migration,birth_rate,death_rate,rural_pop,urban_pop
1960,SWZ,,-2082.0,47.393,18.59,331824.0,13513.0
1960,SYC,,-180.0,36.485,13.051,30160.0,11540.0
1960,SYR,,0.0,47.383,16.638,2953325.0,1720175.0
1960,TCD,,-672.0,45.902,25.572,2845651.0,204187.0
1960,TGO,,-13868.0,47.936,22.052,1504159.0,168951.0
1960,THA,,6886.0,43.803,14.971,21569471.0,5282276.0
1960,TJK,,2457.0,47.708,16.737,1411579.0,700552.0
1960,TKM,,1421.0,47.436,17.356,880696.0,762761.0
1960,TLS,,0.0,45.241,30.262,420880.0,47238.0
1960,TON,,-384.0,44.298,10.6,54556.0,11614.0
1960,TTO,,-5671.0,37.801,8.49,556353.0,288590.0
1960,TUN,,-61334.0,47.744,22.146,2666586.0,1600702.0
1960,TUR,,14948.0,45.019,17.733,19401731.0,8928167.0
1960,TUV,,-79.0,40.766,18.319,4708.0,890.0
1960,TZA,,1946.0,48.97,21.114,9381991.0,519428.0
1960,UGA,,-7586.0,48.586,19.129,7303471.0,337502.0
1960,UKR,,52281.0,20.83,8.248,22785843.0,20038250.0
1960,URY,,2057.0,21.797,9.766,499894.0,2030063.0
1960,USA,,422708.0,23.7,9.5,54208527.0,126462473.0
1960,UZB,,22039.0,47.925,15.38,5419818.0,2789291.0
1960,VEN,,8369.0,44.973,10.034,3132414.0,5027676.0
1960,VNM,,0.0,41.589,12.225,27749739.0,4782194.0
1960,VUT,,0.0,44.337,16.454,57728.0,6703.0
1960,WSM,,-1333.0,50.987,12.776,91200.0,21290.0
1960,XKX,,3231.0,43.03,18.608,,
1960,YEM,,-3431.0,56.016,33.784,5028862.0,503439.0
1960,ZAF,,18891.0,39.82,14.196,8775928.0,7664244.0
1960,ZMB,,-3898.0,48.947,16.498,2581485.0,572244.0
1960,ZWE,,-8260.0,47.492,14.164,3329101.0,480288.0
1961,AGO,4.252492981471083,-74774.0,52.046,28.075,4729118.0,572465.0
1961,ALB,60.57664233576642,829.0,40.283,15.098,1146208.0,513592.0
1961,ARE,1.9429597296536187,3141.0,39.796,13.295,35349.0,102640.0
1961,ARG,7.573483295513924,26322.0,23.857,8.523,5343856.0,15382420.0
1961,ARM,,12102.0,39.904,12.948,922359.0,1005125.0
1961,AUS,1.3645652994545905,64495.0,22.9,8.5,1893125.0,8589875.0
1961,AUT,85.87371546291808,-2760.0,18.6,12.1,2493385.0,4592914.0
1961,AZE,,-171.0,47.587,14.498,1927233.0,2118517.0
1961,BDI,110.40183021806854,15094.0,46.414,21.295,2775156.0,59963.0
1961,BEL,,10566.0,17.3,11.6,683837.0,8500111.0
1961,BEN,22.69619545938276,-4791.0,46.737,27.654,2306986.0,252237.0
1961,BFA,17.720116959064327,-24687.0,46.434,26.827,4615703.0,232521.0
1961,BGD,409.5440424060844,26503.0,49.131,20.909,50496628.0,2813720.0
1961,BGR,71.79895145982103,378.0,17.4,7.9,4862618.0,3080500.0
1961,BIH,,-14655.0,34.036,10.858,2688941.0,659094.0
1961,BLR,,-26780.0,23.834,7.574,5498539.0,2772677.0
1961,BLZ,4.104866286716352,-347.0,43.714,15.345,43333.0,50299.0
1961,BOL,3.488166712821933,-3642.0,43.875,22.411,2378371.0,1400360.0
1961,BRA,8.92608247768044,75.0,43.292,13.265,39449868.0,35155579.0
1961,BTN,4.935513558632794,1586.0,48.697,26.662,221858.0,8744.0
1961,BWA,0.9315582376087378,-4168.0,46.593,15.937,511592.0,16350.0
1961,CAF,2.7843269446852226,474.0,43.402,24.733,1374637.0,359943.0
1961,CAN,2.037902692405073,34721.0,26.0,7.7,5541960.0,12729040.0
1961,CHE,137.4796093908116,101278.0,18.3,9.4,1562740.0,3871554.0
1961,CHL,11.196292829360404,-27159.0,34.792,10.913,2608993.0,5715809.0
