year,country_code,employers,vulnerable_emp,child_emp,part_time,labor_force_fem,labor_force_total,unemp
1980,CAN,,,,33.6,,,7.537
1980,CHE,,,,,,,0.2
1980,CHL,,,,,,,10.46
1980,CHN,,,,,,,4.9
1980,COL,,,,,,,9.1
1980,CYP,,,,,,,2.0
1980,DNK,,,,,,,7.0
1980,EGY,,,,,,,5.18
1980,ESP,,,,,,,11.4
1980,FIN,,,,,,,4.86
1980,FRA,,,,,,,6.42
1980,GBR,,,,,,,6.8
1980,IDN,,,,,,,1.66
1980,ISR,,,,,,,4.59
1980,ITA,,,,,,,7.53
1980,JAM,,,,,,,35.51
1980,JPN,,,,,,,2.0
1980,KOR,,,,,,,5.196
1980,MHL,,,,,,,9.73
1980,MYS,,,,,,,1.661
1980,PAK,,,,,,,4.01
1980,PER,,,,,,,6.97
1980,PHL,,,,,,,4.75
1980,PRY,,,,,,,4.11
1980,SLV,,,,,,,13.34
1980,STP,,,,,,,0.57
1980,THA,,,,,,,0.93
1980,TTO,,,,,,,6.03
1980,URY,,,,,,,7.3
1980,USA,,,,,,,7.1
1980,VEN,,,,,,,5.89
1981,ALB,,,,,,,5.1
1981,ARG,,,,,,,4.5
1981,AUS,,,,,,,5.784
1981,AUT,,,,,,,2.06
1981,BEL,,,,,,,11.35
1981,BOL,,,,,,,10.16
1981,BRA,,,,,,,3.99
1981,CAN,,,,37.68,,,7.607
1981,CHE,,,,,,,0.2
1981,CHL,,,,,,,11.35
1981,CHN,,,,,,,3.8
1981,COL,,,,,,,8.13
1981,CYP,,,,,,,2.6
1981,DNK,,,,,,,9.2
1981,EGY,,,,,,,4.97
1981,ESP,,,,,,,14.17
1981,FIN,,,,,,,5.04
1981,FRA,,,,,,,7.54
1981,GBR,,,,,,,10.4
1981,GRC,,,,,,,3.42
1981,GTM,,,,,,,2.15
1981,ISR,,,,,,,4.92
1981,JAM,,,,,,,25.0
1981,JPN,,,,,,,2.2
1981,KOR,,,,,,,4.507
1981,NLD,,,,,,,7.92
1981,PAK,,,,,,,3.82
1981,PER,,,,,,,6.77
1981,PHL,,,,,,,5.36
1981,STP,,,,,,,0.7
1981,THA,,,,,,,1.26
1981,TTO,,,,,,,6.31
1981,URY,,,,,,,6.6
1981,USA,,,,,,,7.6
1981,VEN,,,,,,,7.0
1982,ALB,,,,,,,3.6
1982,ARG,,,,,,,4.73
1982,AUS,,,,,,,7.163
1982,AUT,,,,,,,3.35
1982,BEL,,,,,,,13.0
1982,BOL,,,,,,,11.6
1982,BRA,,,,,,,4.83
1982,CAN,,,,36.94,,,11.04
1982,CHE,,,,,,,0.4
1982,CHL,,,,,,,19.6
1982,CHN,,,,,,,3.2
1982,COL,,,,,,,11.46
1982,CYP,,,,,,,2.8
1982,DNK,,,,,,,10.0
1982,EGY,,,,,,,5.21
1982,ESP,,,,,,,16.0
1982,FIN,,,,,,,5.28
1982,FJI,,,,,,,6.06
1982,FRA,,,,,,,8.2
