year,country_code,tax_revenue,inflation,gdp
1996,FIN,21.93337713405964,-0.081356940556958,131991975148.84804
1996,FJI,21.20782003213712,2.868442299914946,2128696643.62574
1996,FRA,20.532101037896787,1.3173574556961256,1598889216566.2263
1996,FSM,,1.8696044083083048,218534700.0
1996,GAB,,13.562676743395286,5694040002.898627
1996,GBR,23.06501258800892,4.13730557618139,1419645865834.6333
1996,GEO,7.876437895825256,43.03027050092271,3094935186.7689576
1996,GHA,,39.83774280948353,6932991739.377671
1996,GIN,,1.5459682370531738,5641243099.76661
1996,GMB,,8.368569565282428,848239446.2157602
1996,GNB,,39.2337134878286,702965147.5680538
1996,GRC,19.075319278644976,8.196857190691162,142502984144.96036
1996,GRD,,2.6730845108078967,366911444.4444444
1996,GTM,8.52966373904846,8.900004509533233,15674835615.313896
1996,GUY,,3.930579753464599,705406001.4245014
1996,HND,,18.19357784445141,5215028986.486486
1996,HRV,23.12048656429987,3.834416742300803,24150978346.52533
1996,HTI,,9.976590041015967,2907517603.767188
1996,HUN,22.91607843247376,21.930280736456027,46658755151.6017
1996,IDN,14.234801940785028,8.676509755366197,227369679374.9733
1996,IND,9.231468690892676,7.575018289488227,392896866204.5158
1996,IRL,27.211037480535165,2.2922538002589903,75790785030.24194
1996,IRN,7.946315139840843,28.83364572389576,120403931883.34818
1996,IRQ,,-12.544137451323962,10433698621.342705
1996,ISL,23.44783663350224,2.4792913134935617,7426082270.676692
1996,ISR,25.21956886015072,9.203354021289428,114866706144.06116
1996,ITA,24.247207384542087,4.372788431622723,1314776508972.267
1996,JAM,20.10919957195272,18.872107828523795,7393891920.803583
1996,JOR,21.689673426174767,2.0465666064470582,6927503526.093089
1996,JPN,,-0.4457753932421013,4923391533851.632
1996,KAZ,,38.89963114654694,21035357936.8796
1996,KEN,,41.9887739085188,12045865396.132324
1996,KGZ,,35.342907906788696,1827570586.1678448
1996,KIR,,12.541887974261428,81456842.37936774
1996,KOR,13.234365058717422,4.11067476454059,610167053824.007
1996,LAO,,13.725212255633608,1873671550.3463552
1996,LBN,,1.738109736186459,13690217333.587885
1996,LBR,,5.465562533809518,159400000.0
1996,LCA,,0.4619688490554523,788888888.8888888
1996,LKA,16.950690509915013,10.817455797097494,13897738375.248775
1996,LSO,26.96189968610514,6.002044062221202,946112492.844847
1996,LTU,18.80200421957129,18.99944240905616,8430207164.436771
1996,LUX,24.6973870800268,3.783557832514191,20895314657.980457
1996,LVA,13.50917083456102,12.964207096524548,5799465288.412456
1996,MAR,,0.4354885672477167,43161571527.63532
1996,MDA,12.089676234700026,27.851977344564705,1695122173.9130435
1996,MDG,,19.76081638682128,4931861038.707632
1996,MDV,13.452178834182227,4.65632948783248,450382327.9524214
1996,MEX,8.314389303917343,26.696773997590626,432157945024.4281
1996,MHL,,2.795964678853153,110858000.0
1996,MKD,,2.864820931649988,4642021256.3068905
1996,MLI,,-1.6521191963627615,2780422049.2120423
1996,MLT,18.211372487926468,1.3793721040141946,3822488329.489029
1996,MMR,3.959317154473597,23.0374930881772,6123556716.81329
1996,MNG,9.602347816141512,10.807572704592316,1345719472.358831
1996,MOZ,,48.817961428700784,4030146134.5706015
1996,MRT,,1.857063491414948,2132087009.2894216
1996,MUS,14.616192811856482,7.0020427805700365,4481489761.54368
1996,MWI,,52.34558811210286,3319573749.611898
1996,MYS,19.377926315955417,3.679903384753586,100855393910.48572
1996,NAM,23.98662947875192,15.176180335890493,3989163196.5676665
1996,NER,,6.968634944361682,2405686940.0464
1996,NGA,,26.49108985645228,185730236700.0
1996,NIC,9.494441288423944,9.60681288753851,4308351902.786011
1996,NLD,21.437590501013613,1.165764816348542,451372549019.6079
1996,NOR,23.93682585675926,4.261495618468601,163520109150.67136
1996,NPL,8.719914186884575,7.823035561247352,4521580381.47139
1996,NRU,,4.054262852705534,37458801.21396054
1996,PAK,,8.373609994594688,63320170084.40756
1996,PAN,,1.9466169763288264,9197503300.0
1996,PER,14.199814167514711,9.687741961214796,55252414130.30192
1996,PHL,14.82664165522073,7.688965478462279,94648084429.03406
1996,PNG,22.46318454089217,1.8118781249523863,5155311077.389984
1996,POL,21.57239464167097,17.98120765566638,160813026223.06296
1996,PRT,20.51675842964853,2.390875167719159,122630089680.27034
1996,PRY,,11.421448236073276,9788391780.52421
1996,PSE,,2.616243559927554,3409600000.0
1996,QAT,,6.657557530900846,9059340384.615383
1996,ROU,16.107730270379445,44.00228391293075,36937074278.300354
1996,RUS,,46.03637766834413,391724890744.49817
1996,RWA,,10.92141575249184,1382334879.408122
1996,SDN,,32.56225513458384,9018300724.660856
1996,SEN,,4.161517341033985,6559712165.96508
1996,SLB,,12.083891719911604,510586430.1901267
1996,SLE,,29.580486807541263,941708911.1115336
1996,SLV,,6.581718610619774,9586327800.0
1996,SRB,,85.58419015038223,23277430167.597763
1996,STP,,99.23595603031566,135188165.7470801
1996,SUR,,11.882550371910725,861372806.2082002
1996,SVK,21.21139837065322,4.680339841862136,28197790874.524715
1996,SVN,22.23044928067939,11.496641613963192,21470699362.60623
1996,SWE,27.29170465509571,1.0523502556557816,291952430659.1112
1996,SWZ,,7.682365133090286,1602741833.705521
1996,SYC,25.31820967214253,-6.080267155637216,535250347.0894787
1996,SYR,,10.171079688646545,13789560878.243511
1996,TCD,,11.45845495083158,1607345355.782984
