year,country_code,pop_ages,gender,number
1960,DNK,65+,female,260997.0
1960,DNK,65+,male,223990.0
1960,DJI,0-14,female,19031.0
1960,DJI,0-14,male,18972.0
1960,DJI,15-64,female,23283.0
1960,DJI,15-64,male,22717.0
1960,DJI,65+,female,1127.0
1960,DJI,65+,male,895.0
1960,DOM,0-14,female,785386.0
1960,DOM,0-14,male,802555.0
1960,DOM,15-64,female,793303.0
1960,DOM,15-64,male,802037.0
1960,DOM,65+,female,42669.0
1960,DOM,65+,male,42387.0
1960,ECU,0-14,female,996578.0
1960,ECU,0-14,male,1018825.0
1960,ECU,15-64,female,1187404.0
1960,ECU,15-64,male,1177062.0
1960,ECU,65+,female,117767.0
1960,ECU,65+,male,93255.0
1960,EGY,0-14,female,5527125.0
1960,EGY,0-14,male,5856381.0
1960,EGY,15-64,female,7300126.0
1960,EGY,15-64,male,7234046.0
1960,EGY,65+,female,565048.0
1960,EGY,65+,male,413753.0
1960,SLV,0-14,female,632626.0
1960,SLV,0-14,male,638407.0
1960,SLV,15-64,female,729541.0
1960,SLV,15-64,male,699374.0
1960,SLV,65+,female,49530.0
1960,SLV,65+,male,41982.0
1960,EST,0-14,female,136528.0
1960,EST,0-14,male,143748.0
1960,EST,15-64,female,450243.0
1960,EST,15-64,male,351270.0
1960,EST,65+,female,90539.0
1960,EST,65+,male,39209.0
1960,SWZ,0-14,female,80908.0
1960,SWZ,0-14,male,81035.0
1960,SWZ,15-64,female,91348.0
1960,SWZ,15-64,male,82022.0
1960,SWZ,65+,female,5774.0
1960,SWZ,65+,male,4251.0
1960,ETH,0-14,female,4520555.0
1960,ETH,0-14,male,4508111.0
1960,ETH,15-64,female,5990005.0
1960,ETH,15-64,male,5754946.0
1960,ETH,65+,female,374810.0
1960,ETH,65+,male,228268.0
1960,FJI,0-14,female,92537.0
1960,FJI,0-14,male,95460.0
1960,FJI,15-64,female,97763.0
1960,FJI,15-64,male,105367.0
1960,FJI,65+,female,5194.0
1960,FJI,65+,male,8565.0
1960,FIN,0-14,female,659853.0
1960,FIN,0-14,male,686967.0
1960,FIN,15-64,female,1433395.0
1960,FIN,15-64,male,1325928.0
1960,FIN,65+,female,202909.0
1960,FIN,65+,male,120582.0
1960,FRA,0-14,female,6164599.0
1960,FRA,0-14,male,6401728.0
1960,FRA,15-64,female,14786372.0
1960,FRA,15-64,male,14601845.0
1960,FRA,65+,female,3437837.0
1960,FRA,65+,male,2020583.0
1960,GAB,0-14,female,81133.0
1960,GAB,0-14,male,79693.0
1960,GAB,15-64,female,160315.0
1960,GAB,15-64,male,151209.0
1960,GAB,65+,female,22747.0
1960,GAB,65+,male,17218.0
1960,GMB,0-14,female,81496.0
1960,GMB,0-14,male,81707.0
1960,GMB,15-64,female,113860.0
1960,GMB,15-64,male,110313.0
1960,GMB,65+,female,5847.0
1960,GMB,65+,male,4837.0
1960,GEO,0-14,female,514081.0
1960,GEO,0-14,male,532627.0
1960,GEO,15-64,female,1248514.0
1960,GEO,15-64,male,1078303.0
1960,GEO,65+,female,161655.0
1960,GEO,65+,male,110420.0
1960,DEU,0-14,female,7558223.0
1960,DEU,0-14,male,7939811.0
1960,DEU,15-64,female,26386725.0
1960,DEU,15-64,male,22574279.0
1960,DEU,65+,female,5001216.0
1960,DEU,65+,male,3354646.0
1960,GHA,0-14,female,1554468.0
1960,GHA,0-14,male,1605735.0
1960,GHA,15-64,female,1752020.0
1960,GHA,15-64,male,1845103.0
1960,GHA,65+,female,96494.0
1960,GHA,65+,male,107395.0
1960,GRC,0-14,female,1075781.0
1960,GRC,0-14,male,1145945.0
1960,GRC,15-64,female,2816523.0
1960,GRC,15-64,male,2693106.0
1960,GRC,65+,female,351695.0
1960,GRC,65+,male,248677.0
1960,GRD,0-14,female,22049.0
1960,GRD,0-14,male,22450.0
1960,GRD,15-64,female,24679.0
1960,GRD,15-64,male,21221.0
1960,GRD,65+,female,2392.0
1960,GRD,65+,male,1267.0
1960,GTM,0-14,female,933221.0
1960,GTM,0-14,male,962692.0
1960,GTM,15-64,female,1007345.0
1960,GTM,15-64,male,1070983.0
1960,GTM,65+,female,42150.0
1960,GTM,65+,male,47264.0
1960,GIN,0-14,female,700378.0
1960,GIN,0-14,male,707912.0
1960,GIN,15-64,female,1009581.0
1960,GIN,15-64,male,981978.0
1960,GIN,65+,female,78781.0
1960,GIN,65+,male,78119.0
1960,GNB,0-14,female,106528.0
1960,GNB,0-14,male,106365.0
1960,GNB,15-64,female,169258.0
1960,GNB,15-64,male,172137.0
1960,GNB,65+,female,12887.0
1960,GNB,65+,male,10458.0
1960,GUY,0-14,female,131829.0
1960,GUY,0-14,male,134641.0
1960,GUY,15-64,female,141755.0
1960,GUY,15-64,male,141395.0
1960,GUY,65+,female,11538.0
1960,GUY,65+,male,7985.0
1960,HTI,0-14,female,789880.0
1960,HTI,0-14,male,778308.0
1960,HTI,15-64,female,1117700.0
1960,HTI,15-64,male,1046295.0
1960,HTI,65+,female,73255.0
1960,HTI,65+,male,53004.0
1960,HND,0-14,female,479970.0
1960,HND,0-14,male,489347.0
